origin,colony,dest,origin_dest,time,trt,grate,wkgrate,ylossnorm,totchl,"survival (1=y,0=dead)",6 bleach/dead score,min,mean,dr90,mmm,dtr,maxdtr,days31,days32,inDHW,nightDHW,CRWDHW,inDHM
HV,HVO,HV,HV_HV,1,0,0.04,0.074,0.015,19.29164011,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVO,MV,HV_MV,1,1,0.05,0.099,0.701,10.64378986,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVO,MV,HV_MV,1,0,0.03,0.11,0.001,20.24557585,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
LV,LVA,HV,LV_HV,1,1,0.029,0.04,0.296,12.63263893,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVA,HV,LV_HV,1,0,0.025,0.138,-0.041,18.38141408,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVA,LV,LV_LV,1,1,0.044,0.03,0.252,14.73333271,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVA,LV,LV_LV,1,0,0.041,0.05,-0.017,14.11735679,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVB,HV,LV_HV,1,1,0.019,0.045,0.359,12.07639952,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVB,HV,LV_HV,1,0,0.019,0.038,0.049,15.16645874,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVB,LV,LV_LV,1,1,0.018,-0.019,0.274,11.1249928,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVB,LV,LV_LV,1,0,0.027,0.103,0.033,18.78898223,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVC,HV,LV_HV,1,1,0.045,-0.013,0.314,11.24972788,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVC,HV,LV_HV,1,0,0.045,-0.005,-0.006,25.10420576,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVC,LV,LV_LV,1,1,0.057,0.049,0.243,14.51618816,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVC,LV,LV_LV,1,0,0.031,0.036,0.031,22.66441711,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVD,HV,LV_HV,1,1,0.011,0.05,0.502,10.63206468,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVD,HV,LV_HV,1,0,0.012,0.093,0.013,20.45143543,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVD,LV,LV_LV,1,1,0.014,0.061,0.411,4.408053938,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVD,LV,LV_LV,1,0,0.018,0.078,0.031,16.70231422,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVE,HV,LV_HV,1,1,0.009,0.118,0.441,2.478942279,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVE,HV,LV_HV,1,0,0.019,0.14,-0.035,7.836972188,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVE,LV,LV_LV,1,1,0.01,0.081,0.433,0.87927366,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVE,LV,LV_LV,1,0,0.03,0.159,0.044,15.37944016,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVK,HV,LV_HV,1,1,0.002,0.116,0.632,9.984250114,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVK,HV,LV_HV,1,0,-0.012,0.018,0.075,16.84826462,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVK,LV,LV_LV,1,1,-0.014,0.184,0.318,3.095118317,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVK,LV,LV_LV,1,0,-0.009,-0.02,0.031,13.73786968,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVL,HV,LV_HV,1,1,0.014,-0.133,0.107,2.174761204,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVL,HV,LV_HV,1,0,0.004,0.017,0.136,9.628230706,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVL,LV,LV_LV,1,1,0.006,-0.049,0.24,5.333042666,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVL,LV,LV_LV,1,0,0.005,0.128,0.044,11.90054869,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVM,HV,LV_HV,1,1,0.005,0.276,0.241,12.76004177,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVM,HV,LV_HV,1,0,0.009,0.03,0.078,16.26095113,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVM,LV,LV_LV,1,1,-0.005,0.238,0.34,11.27636695,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVM,LV,LV_LV,1,0,0.003,0.048,0.067,13.13697027,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVN,HV,LV_HV,1,1,-0.009,0.214,0.449,3.164127132,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVN,HV,LV_HV,1,0,0.009,0.041,0.077,15.16761803,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVN,LV,LV_LV,1,1,0.009,0.171,0.668,4.295703866,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVN,LV,LV_LV,1,0,0.011,0.101,0.029,18.3085275,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVO,HV,LV_HV,1,1,0.007,0.171,0.187,9.656353589,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVO,HV,LV_HV,1,0,NA,0.116,0.07,10.76230957,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVO,LV,LV_LV,1,1,0.008,-0.025,0.188,4.39316589,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVO,LV,LV_LV,1,0,-0.003,0.077,0.029,5.931312382,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
MV,MVA,HV,MV_HV,1,1,0.008,0.068,0.111,17.77528947,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVA,HV,MV_HV,1,0,0.006,0.041,-0.052,16.7093493,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVA,MV,MV_MV,1,1,0.011,0.075,0.096,14.00990269,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVA,MV,MV_MV,1,0,0.017,0.023,-0.036,17.41104331,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVB,HV,MV_HV,1,1,0.011,0.083,0.144,14.24323951,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVB,HV,MV_HV,1,0,0.011,0.114,-0.018,12.81545467,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVB,MV,MV_MV,1,1,0.007,-0.094,0.116,11.2614789,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVB,MV,MV_MV,1,0,0.007,-0.059,0.033,21.13826691,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVC,HV,MV_HV,1,1,0.01,0.068,0.334,6.052121442,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVC,HV,MV_HV,1,0,0.012,0.096,0.063,10.40586232,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVC,MV,MV_MV,1,1,0.008,-0.091,0.246,6.748525282,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVC,MV,MV_MV,1,0,0.009,0.108,0.06,15.68061866,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVD,HV,MV_HV,1,1,0,0.057,0.266,4.408053938,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVD,HV,MV_HV,1,0,0.003,0.055,0.006,8.156917556,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVD,MV,MV_MV,1,1,0.012,0.036,0.273,6.546471347,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVD,MV,MV_MV,1,0,0.014,0.029,0.062,9.66360345,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVEnew,HV,MV_HV,1,1,0.003,0.08,0.095,8.776050931,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVEnew,HV,MV_HV,1,0,0.004,0.069,0.047,16.2964579,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVEnew,MV,MV_MV,1,1,0.01,0.036,0.208,12.86763208,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVEnew,MV,MV_MV,1,0,0.011,0.07,-0.013,14.85941555,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVK,HV,MV_HV,1,1,0.005,0.05,0.252,8.18575679,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVK,HV,MV_HV,1,0,0.01,0.055,0.087,13.11827389,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVK,MV,MV_MV,1,1,0.016,0.029,0.15,7.413251869,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVK,MV,MV_MV,1,0,-0.003,-0.034,0.086,12.04909727,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVL,HV,MV_HV,1,1,0.008,0.018,0.26,10.08766057,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVL,HV,MV_HV,1,0,0.007,0.002,0.035,14.32745979,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVL,MV,MV_MV,1,1,0.011,0.02,0.257,11.29551291,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVL,MV,MV_MV,1,0,0.009,-0.063,0.028,18.08683429,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVM,HV,MV_HV,1,1,0.037,0.079,0.286,8.06494773,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVM,HV,MV_HV,1,0,0.011,0.078,0.085,16.02272898,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVM,MV,MV_MV,1,1,-0.003,0.065,0.386,8.858954623,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVM,MV,MV_MV,1,0,0.031,0.073,0.086,23.05031006,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVN,HV,MV_HV,1,1,0.025,0.026,0.195,8.899454523,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVN,HV,MV_HV,1,0,-0.01,0.025,0.053,15.80334168,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVN,MV,MV_MV,1,1,0.047,0.051,0.203,13.01088743,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVN,MV,MV_MV,1,0,0.008,0.055,0.027,18.59810271,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVO,HV,MV_HV,1,1,0.032,0.054,0.094,8.417013246,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVO,HV,MV_HV,1,0,0.027,0.057,-0.009,11.6382144,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
MV,MVO,MV,MV_MV,1,NA,0.013,NA,NA,NA,0,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVO,MV,MV_MV,1,1,0.036,0.065,0.059,7.940837551,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
MV,MVO,MV,MV_MV,1,0,-0.003,-0.019,0.022,12.58046451,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVA,HV,HV_HV,6,1,0.023,0.184,0.407,3.693,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVA,HV,HV_HV,6,0,0.042,0.173,0.149,11.807,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVA,MV,HV_MV,6,1,0.04,0.193,0.47,0.969,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVA,MV,HV_MV,6,0,0.016,0.259,0.12,7.042,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
