origin,colony,dest,origin_dest,time,trt,tank,grate,wkgrate,ylossnorm,hr21,totchl,"survival (1=y,0=dead)",6 bleach/dead score,min,mean,dr90,mmm,dtr,maxdtr,days31,days32,inDHW,nightDHW,CRWDHW,inDHM
HV,HVN,MV,HV_MV,1,cont,6,0.054,,0.062,0.499,15.72731642,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVO,HV,HV_HV,1,heat,5,0.007,,0.485,0.305,6.223948328,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVO,HV,HV_HV,1,cont,6,0.04,0.084,0.015,0.589,19.29164011,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
HV,HVO,MV,HV_MV,1,heat,5,0.05,,0.701,0.175,10.64378986,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
HV,HVO,MV,HV_MV,1,cont,6,0.03,0.104,0.001,0.616,20.24557585,1,NA,26.98,28.2,2.27,31.12,1.29,3.5,14,3,0,0,0,0
LV,LVA,HV,LV_HV,1,heat,1,0.029,0.089,0.296,0.38,12.63263893,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVA,HV,LV_HV,1,cont,2,0.025,,-0.041,0.557,18.38141408,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVA,LV,LV_LV,1,heat,1,0.044,0.04,0.252,0.414,14.73333271,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVA,LV,LV_LV,1,cont,2,0.041,,-0.017,0.561,14.11735679,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVB,HV,LV_HV,1,heat,1,0.019,0.041,0.359,0.372,12.07639952,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVB,HV,LV_HV,1,cont,2,0.019,,0.049,0.568,15.16645874,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVB,LV,LV_LV,1,heat,1,0.018,,0.274,0.428,11.1249928,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVB,LV,LV_LV,1,cont,2,0.027,0.042,0.033,0.565,18.78898223,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVC,HV,LV_HV,1,heat,1,0.045,-0.009,0.314,0.365,11.24972788,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVC,HV,LV_HV,1,cont,2,0.045,,-0.006,0.573,25.10420576,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVC,LV,LV_LV,1,heat,1,0.057,0.043,0.243,0.418,14.51618816,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVC,LV,LV_LV,1,cont,2,0.031,,0.031,0.543,22.66441711,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVD,HV,LV_HV,1,heat,1,0.011,0.071,0.502,0.273,10.63206468,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVD,HV,LV_HV,1,cont,2,0.012,,0.013,0.538,20.45143543,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVD,LV,LV_LV,1,heat,1,0.014,,0.411,0.32,4.408053938,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVD,LV,LV_LV,1,cont,2,0.018,0.069,0.031,0.546,16.70231422,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVE,HV,LV_HV,1,heat,3,0.009,0.129,0.441,0.306,2.478942279,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVE,HV,LV_HV,1,cont,4,0.019,,-0.035,0.508,7.836972188,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVE,LV,LV_LV,1,heat,3,0.01,,0.433,0.289,0.87927366,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVE,LV,LV_LV,1,cont,4,0.03,0.12,0.044,0.537,15.37944016,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVK,HV,LV_HV,1,heat,3,0.002,0.067,0.632,0.214,9.984250114,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVK,HV,LV_HV,1,cont,4,-0.012,,0.075,0.516,16.84826462,1,NA,26.54,28.11,2.71,31.37,1.17,3.02,9,4,0,0,0,0.310857143
LV,LVK,LV,LV_LV,1,heat,3,-0.014,,0.318,0.381,3.095118317,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
LV,LVK,LV,LV_LV,1,cont,4,-0.009,0.082,0.031,0.549,13.73786968,1,NA,27.47,27.97,1.6,29.55,1.04,3.34,3,0,0,0,0,0
